DEVICE,DETECTOR,LATITUDE,LONGITUDE,DIRECTION
tre103,a55,61.49269203,23.77083798,south
tre103,a55_1,61.49268613,23.7707856,south
tre103,a55_2,61.49269203,23.77083798,south
tre103,a55_3,61.49269783,23.77090699,south
tre103,b55,61.49111734,23.77138563,north
tre103,b55_1,61.49111734,23.77138563,north
tre103,b55_2,61.4911168,23.77129257,north
tre103,c30,61.49207595,23.77018651,southeast
tre103,c30_1,61.49203916,23.77016172,southeast
tre103,c30_2,61.49207595,23.77018651,southeast
tre103,c30_3,61.49210666,23.77020395,southeast
tre103,d70,61.49139344,23.77247902,northwest
tre103,d70_1,61.49141325,23.77252069,northwest
tre103,d70_2,61.49139344,23.77247902,northwest
tre103,e55,61.49156248,23.77237997,northwest
tre103,e55_1,61.49156248,23.77237997,northwest
tre103,e55_2,61.49153929,23.77233565,northwest
tre106,a60,61.49595549,23.76834016,south
tre106,a60_1,61.49593583,23.76828293,south
tre106,a60_2,61.49595549,23.76834016,south
tre106,b65_1,61.49469979,23.76998132,north
tre106,b65_2,61.494689,23.76991893,north
tre106,b65_3,61.4946811,23.76986301,north
tre106,f35_1,61.49586962,23.76931439,southwest
tre106,f35_2,61.49587059,23.76938135,southwest
tre106,g40,61.49488653,23.76836391,northeast
tre112,a50_1,61.49473253,23.771615,west
tre112,a50_2,61.49476284,23.77158731,west
tre112,a90_1,61.49458132,23.77093538,west
tre112,a90_2,61.49461159,23.77090553,west
tre112,b100_1,61.49493283,23.77491787,east
tre112,b100_2,61.49490506,23.77491886,east
tre112,e35,61.49543702,23.77258626,south
tre112,f35,61.49544102,23.77264473,south
tre112,j70,61.49651576,23.77235269,south
tre112,k40_1,61.49528577,23.77279612,north
tre112,k40_2,61.49528183,23.77274728,north
tre116,a120,61.49426508,23.77465491,southeast
tre116,a170,61.49469302,23.77447661,southeast
tre116,a60,61.49371185,23.7749629,southeast
tre116,b110,61.4923561,23.77757185,northwest
tre116,b50_1,61.49272114,23.77674291,northwest
tre116,b50_2,61.4926969,23.77669552,northwest
tre116,c60,61.49372393,23.77502326,southeast
tre116,e40,61.49360559,23.77638029,southwest
tre116,e80,61.49396114,23.7765522,south
tre116,f40,61.49358941,23.7764417,southwest
tre117_575,a100_1,61.49145004,23.77106779,south
tre117_575,a100_2,61.49145408,23.77112074,south
tre117_575,b75_1,61.48965936,23.77143183,north
tre117_575,b75_2,61.48966272,23.77136906,north
tre117_575,c45,61.49072088,23.77246465,southwest
tre117_575,h45_1,61.49029521,23.77123011,south
tre117_575,h45_2,61.4902948,23.77129872,south
tre117_575,j93_1,61.48874869,23.77091597,north
tre117_575,j93_2,61.48876021,23.77086013,north
tre121,a30,61.49142115,23.78194697,north
tre121,a66_1,61.49110009,23.78188177,north
tre121,a66_2,61.49110278,23.78180713,north
tre121,b45_1,61.49244496,23.78169404,south
tre121,b45_2,61.49244619,23.78175123,south
tre121,b80,61.49276129,23.78172857,south
tre121,c30,61.49142367,23.78186863,north
tre121,e50_1,61.49179747,23.78046373,east
tre121,e50_2,61.49182934,23.7804656,east
tre121,f50,61.49185974,23.780466,east
tre121,g50,61.49170987,23.78313781,west
tre122,a40,61.49680503,23.78595002,northeast
tre122,a80,61.49654783,23.78542683,northeast
tre122,b60_1,61.49783948,23.7869464,south
tre122,b60_2,61.49783931,23.78701045,south
tre122,b80,61.49802388,23.78697392,south
tre122,e55,61.49692466,23.78787974,northwest
tre122,f55,61.49759654,23.78547639,southeast
tre123,a60_1,61.49518,23.788559,east
tre123,a60_2,61.495208,23.788554,east
tre123,a100_1,61.49519485,23.7877888,east
tre123,a100_2,61.49522198,23.78779184,east
tre123,b100_1,61.49518332,23.79214912,west
tre123,b100_2,61.4951528,23.79214619,west
tre123,b50_1,61.49519539,23.79118749,west
tre123,b50_2,61.49517304,23.79118558,west
tre123,d60,61.49579029,23.78927742,southeast
tre132,a60_1,61.49275254,23.75405522,north
tre132,a60_2,61.49274663,23.75398095,north
tre132,b100_1,61.4942808,23.75261615,south
tre132,b100_2,61.49428776,23.75268789,south
tre132,b60_1,61.49393725,23.75273163,south
tre132,b60_2,61.49394164,23.75280367,south
tre132,c50,61.49322507,23.751881,east
tre133,a25,61.49441138,23.75352711,north
tre133,a60,61.49411072,23.75362285,north
tre133,a_31,61.4949084,23.75331965,north
tre133,b25,61.49507857,23.75244245,south
tre133,b60_1,61.49538218,23.75226645,south
tre133,b60_2,61.49538917,23.75234091,south
tre133,b_55_1,61.4943358,23.75260016,south
tre133,b_55_2,61.49434197,23.75267908,south
tre133,c60,61.49410521,23.75354722,north
tre133,d50,61.49484865,23.75448708,west
tre133,e_41_1,61.49469686,23.75199639,west
tre133,e_41_2,61.4946617,23.75200901,west
tre133,f50,61.49455573,23.75139055,east
tre209,a60_1,61.49753549,23.74994794,east
tre209,a60_2,61.49758113,23.74993346,east
tre209,b45_1,61.49717391,23.75202727,southeast
tre209,b45_2,61.4971415,23.75202547,southeast
tre209,c50_1,61.49826557,23.75134646,south
tre209,c50_2,61.49826955,23.75141179,south
tre209,f65_1,61.4974857,23.75128239,southeast
tre209,f65_2,61.49751127,23.75132314,southeast
tre209,h40_1,61.49662185,23.75279918,north
tre209,h40_2,61.49661825,23.75273126,north
tre216,a50,61.49824524,23.75222227,north
tre216,a90,61.49789078,23.75232695,north
tre216,b120_1,61.49986888,23.75082948,south
tre216,b120_2,61.4998733,23.7508905,south
tre216,b120_1_2,61.49986888,23.75082948,south
tre216,b60,61.4993773,23.75104713,south
tre216,c50,61.49889556,23.75319164,west
tre216,c90,61.49895153,23.7539337,west
tre216,d24,61.49880644,23.75187935,west
tre216,e24,61.49871128,23.75142585,east
tre301,b118,61.5013292,23.76663857,west
tre301,b55,61.50123751,23.76549112,west
tre301,b78,61.50126707,23.76591297,west
tre301,d50,61.50060729,23.76469402,northwest
tre301,g100,61.50088732,23.7614209,east
tre303,a60_1,61.50054517,23.75753744,east
tre303,a60_2,61.50056571,23.75752905,east
tre303,b100,61.50089796,23.76107606,west
tre303,b60,61.50084849,23.76037867,west
tre303,c25,61.50076352,23.75971867,west
tre303,e37,61.5002493,23.75926586,north
tre303,f37,61.5002457,23.759195,north
tre304,a60_1,61.5002832,23.75494418,east
tre304,a60_2,61.50031361,23.75493588,east
tre304,b60_1,61.50062258,23.75755847,west
tre304,b60_2,61.50059899,23.75756502,west
tre304,b60,61.50059899,23.75756502,west
tre304,c30,61.50036934,23.75536165,east
tre305,a60_1,61.50016156,23.75242952,east
tre305,a60_2,61.50018997,23.75242224,east
tre305,b60_1,61.5004428,23.75515108,west
tre305,b60_2,61.50040585,23.75516577,west
tre305,c25,61.50032926,23.75453358,west
tre305,d25,61.50065328,23.75380525,south
tre306,a85_1,61.49992254,23.74898903,east
tre306,a85_2,61.49994657,23.74898445,east
tre306,a90,61.49994657,23.74898445,east
tre306,d50,61.50066068,23.75057451,south
tre306,e50,61.50066756,23.75064385,south
tre306,k60_1,61.50028602,23.75300004,west
tre306,k60_2,61.50025448,23.75301034,west
tre306,l50,61.49958855,23.75178355,north
tre306,x201,61.50012888,23.75200936,east
tre306,x202,61.50015849,23.75199953,east
tre306,x501,61.50012258,23.75041841,west
tre306,x502,61.50009183,23.75042965,west
tre306,x701,61.49991849,23.75082022,south
tre306,x702,61.49992158,23.75088536,south
